,animal_id,group_no,inoculum,inoculation_batch,dpi,sample_mass_mg,date_nuc_prep,incubation_time_hrs,population,count_statistic,count_value
0,918310,1,RML,BATCH4,60,246,2025-05-06,19.0,NeuN+,EstTotalCount,4359464.0
1,917423,19,22L,BATCH3,120,207,2025-05-06,19.67,NeuN+,EstTotalCount,2913658.0
2,918309,4,CBH,BATCH4,60,240,2025-05-07,16.92,NeuN+,EstTotalCount,5017422.0
3,916462,1,RML,BATCH1,60,248,2025-05-08,18.5,NeuN+,EstTotalCount,4324274.0
4,918277,9,RML,BATCH4,90,220,2025-05-08,18.98,NeuN+,EstTotalCount,5102254.0
5,917432,17,RML,BATCH3,120,245,2025-05-12,19.0,NeuN+,EstTotalCount,2417080.0
6,918304,2,ME7,BATCH4,60,237,2025-05-12,19.33,NeuN+,EstTotalCount,3742073.0
7,918279,10,ME7,BATCH4,90,255,2025-05-13,17.83,NeuN+,EstTotalCount,3704633.0
8,916466,3,22L,BATCH1,60,251,2025-05-14,18.67,NeuN+,EstTotalCount,3555483.0
9,916440,18,ME7,BATCH1,120,250,2025-05-14,19.25,NeuN+,EstTotalCount,3170809.0
10,918293,12,CBH,BATCH4,90,267,2025-05-15,17.45,NeuN+,EstTotalCount,3752887.0
11,916504,10,ME7,BATCH2,90,242,2025-05-19,18.83,NeuN+,EstTotalCount,3994910.0
12,918289,2,ME7,BATCH4,60,219,2025-05-19,19.17,NeuN+,EstTotalCount,3918578.0
13,918280,12,CBH,BATCH4,90,208,2025-05-20,17.17,NeuN+,EstTotalCount,3429660.0
14,918302,1,RML,BATCH4,60,270,2025-05-21,18.0,NeuN+,EstTotalCount,4217479.0
15,918296,4,CBH,BATCH4,60,200,2025-05-21,18.67,NeuN+,EstTotalCount,2165855.0
16,917444,18,ME7,BATCH3,120,252,2025-05-22,16.75,NeuN+,EstTotalCount,3504921.0
17,916500,17,RML,BATCH2,120,211,2025-05-22,18.28,NeuN+,EstTotalCount,3878405.0
18,918261,10,ME7,BATCH4,90,255,2025-05-28,18.92,NeuN+,EstTotalCount,3819827.0
19,918264,11,22L,BATCH4,90,224,2025-05-28,19.28,NeuN+,EstTotalCount,3850140.0
20,918276,18,ME7,BATCH4,120,240,2025-05-29,17.47,NeuN+,EstTotalCount,4245686.0
21,918274,3,22L,BATCH4,60,241,2025-05-29,18.07,NeuN+,EstTotalCount,4414339.0
22,918291,10,ME7,BATCH4,90,238,2025-06-02,19.23,NeuN+,EstTotalCount,3818391.0
23,917461,12,CBH,BATCH3,90,229,2025-06-02,19.78,NeuN+,EstTotalCount,5546126.0
24,918263,20,CBH,BATCH4,120,235,2025-06-03,17.6,NeuN+,EstTotalCount,4696603.0
25,916525,2,ME7,BATCH2,60,209,2025-06-03,17.58,NeuN+,EstTotalCount,6081797.0
26,916507,18,ME7,BATCH2,120,235,2025-06-04,19.2,NeuN+,EstTotalCount,5649668.0
27,916439,12,CBH,BATCH1,90,252,2025-06-04,19.38,NeuN+,EstTotalCount,6020931.0
28,916458,10,ME7,BATCH1,90,241,2025-06-10,18.9,NeuN+,EstTotalCount,3510850.0
29,918285,12,CBH,BATCH4,90,284,2025-06-10,19.63,NeuN+,EstTotalCount,5016801.0
30,918287,20,CBH,BATCH4,120,251,2025-06-11,18.42,NeuN+,EstTotalCount,3834071.0
31,916459,4,CBH,BATCH1,60,200,2025-06-11,18.67,NeuN+,EstTotalCount,4294491.0
32,918270,18,ME7,BATCH4,120,252,2025-06-12,17.52,NeuN+,EstTotalCount,6579571.0
33,916534,9,RML,BATCH2,90,213,2025-06-12,17.85,NeuN+,EstTotalCount,4110742.0
34,918271,11,22L,BATCH4,90,232,2025-06-16,19.83,NeuN+,EstTotalCount,4594096.0
35,916510,3,22L,BATCH2,60,242,2025-06-16,19.95,NeuN+,EstTotalCount,5213337.0
36,918269,19,22L,BATCH4,120,232,2025-06-17,17.58,NeuN+,EstTotalCount,5580031.0
37,918273,1,RML,BATCH4,60,179,2025-06-17,17.57,NeuN+,EstTotalCount,3027589.0
38,918284,3,22L,BATCH4,60,235,2025-06-18,18.9,NeuN+,EstTotalCount,6638607.0
39,917430,11,22L,BATCH3,90,207,2025-06-18,19.53,NeuN+,EstTotalCount,5411719.0
40,917442,2,ME7,BATCH3,60,248,2025-06-19,18.67,NeuN+,EstTotalCount,4392368.0
41,918267,18,ME7,BATCH4,120,234,2025-06-19,19.03,NeuN+,EstTotalCount,5213994.0
42,916486,2,ME7,BATCH1,60,241,2025-06-25,18.8,NeuN+,EstTotalCount,3902785.0
43,916445,11,22L,BATCH1,90,220,2025-06-25,19.33,NeuN+,EstTotalCount,5933505.0
44,916495,20,CBH,BATCH1,120,270,2025-06-26,18.78,NeuN+,EstTotalCount,7663752.0
45,918286,17,RML,BATCH4,120,197,2025-06-26,19.0,NeuN+,EstTotalCount,3979593.0
46,918266,20,CBH,BATCH4,120,254,2025-06-30,19.05,NeuN+,EstTotalCount,5318760.0
47,918268,3,22L,BATCH4,60,224,2025-06-30,19.73,NeuN+,EstTotalCount,5847055.0
48,918272,9,RML,BATCH4,90,215,2025-07-01,17.47,NeuN+,EstTotalCount,5241408.0
49,918281,11,22L,BATCH4,90,285,2025-07-01,17.77,NeuN+,EstTotalCount,4320476.0
50,916554,9,RML,BATCH2,90,262,2025-07-14,17.93,NeuN+,EstTotalCount,7023877.0
51,916477,17,RML,BATCH1,120,212,2025-07-15,17.52,NeuN+,EstTotalCount,6460500.0
52,916470,9,RML,BATCH1,90,281,2025-07-15,17.65,NeuN+,EstTotalCount,7526029.0
53,916515,19,22L,BATCH2,120,250,2025-07-14,18.0,NeuN+,EstTotalCount,5840646.0
54,918275,19,22L,BATCH4,120,212,2025-07-16,18.17,NeuN+,EstTotalCount,4223734.0
55,918311,2,ME7,BATCH4,60,189,2025-07-16,18.72,NeuN+,EstTotalCount,4496722.0
