,animal_id,group_no,inoculum,inoculation_batch,dpi,sample_mass_mg,date_nuc_prep,incubation_time_hrs,NeuN+_EstTotalCount,PU1+_EstTotalCount,SOX10+_EstTotalCount,SOX2+_EstTotalCount,PU1+_EstTotalCount_per_mg,NeuN+_EstTotalCount_per_mg,SOX10+_EstTotalCount_per_mg,SOX2+_EstTotalCount_per_mg
0,918310,1,RML,BATCH4,60,246,2025-05-06,19.0,4359464,144824,668362,249886,588.7154471544716,17721.39837398374,2716.918699186992,1015.7967479674796
1,917423,19,22L,BATCH3,120,207,2025-05-06,19.67,2913658,256364,467283,122749,1238.4734299516908,14075.642512077295,2257.4057971014495,592.9903381642512
2,918309,4,CBH,BATCH4,60,240,2025-05-07,16.92,5017422,134314,645822,234638,559.6416666666667,20905.925,2690.925,977.6583333333333
3,916462,1,RML,BATCH1,60,248,2025-05-08,18.5,4324274,140470,706017,244351,566.4112903225806,17436.58870967742,2846.842741935484,985.2862903225806
4,918277,9,RML,BATCH4,90,220,2025-05-08,18.98,5102254,264586,905283,298508,1202.6636363636364,23192.063636363637,4114.922727272728,1356.8545454545454
5,917432,17,RML,BATCH3,120,245,2025-05-12,19.0,2417080,292983,519682,118225,1195.8489795918367,9865.632653061224,2121.1510204081633,482.55102040816325
6,918304,2,ME7,BATCH4,60,237,2025-05-12,19.33,3742073,137344,660082,182941,579.5105485232068,15789.337552742616,2785.15611814346,771.9029535864979
7,918279,10,ME7,BATCH4,90,255,2025-05-13,17.83,3704633,153305,869778,286994,601.1960784313726,14527.972549019607,3410.894117647059,1125.4666666666667
8,916466,3,22L,BATCH1,60,251,2025-05-14,18.67,3555483,131077,592474,175229,522.2191235059761,14165.27091633466,2360.4541832669324,698.1235059760957
9,916440,18,ME7,BATCH1,120,250,2025-05-14,19.25,3170809,263336,740542,140863,1053.344,12683.236,2962.168,563.452
10,918293,12,CBH,BATCH4,90,267,2025-05-15,17.45,3752887,198242,1116808,306348,742.4794007490636,14055.756554307116,4182.801498127341,1147.370786516854
11,916504,10,ME7,BATCH2,90,242,2025-05-19,18.83,3994910,169315,715208,284095,699.6487603305785,16507.89256198347,2955.404958677686,1173.9462809917356
12,918289,2,ME7,BATCH4,60,219,2025-05-19,19.17,3918578,161425,854318,183003,737.1004566210046,17893.0502283105,3900.9954337899544,835.6301369863014
13,918280,12,CBH,BATCH4,90,208,2025-05-20,17.17,3429660,99394,652327,243713,477.8557692307692,16488.75,3136.1875,1171.6971153846155
14,918302,1,RML,BATCH4,60,270,2025-05-21,18.0,4217479,151310,720499,240907,560.4074074074074,15620.292592592592,2668.5148148148146,892.2481481481482
15,918296,4,CBH,BATCH4,60,200,2025-05-21,18.67,2165855,113656,602983,161995,568.28,10829.275,3014.915,809.975
16,917444,18,ME7,BATCH3,120,252,2025-05-22,16.75,3504921,232130,663038,148468,921.1507936507936,13908.416666666666,2631.1031746031745,589.1587301587301
17,916500,17,RML,BATCH2,120,211,2025-05-22,18.28,3878405,305444,710427,182984,1447.601895734597,18381.066350710902,3366.952606635071,867.2227488151659
18,918261,10,ME7,BATCH4,90,255,2025-05-28,18.92,3819827,164940,1004411,323672,646.8235294117648,14979.713725490195,3938.866666666667,1269.3019607843137
19,918264,11,22L,BATCH4,90,224,2025-05-28,19.28,3850140,150372,740369,225320,671.3035714285714,17188.125,3305.21875,1005.8928571428571
20,918276,18,ME7,BATCH4,120,240,2025-05-29,17.47,4245686,240022,1057894,267543,1000.0916666666667,17690.358333333334,4407.891666666666,1114.7625
21,918274,3,22L,BATCH4,60,241,2025-05-29,18.07,4414339,149380,547613,157122,619.8340248962655,18316.759336099585,2272.253112033195,651.9585062240664
22,918291,10,ME7,BATCH4,90,238,2025-06-02,19.23,3818391,164982,715170,263196,693.2016806722689,16043.659663865546,3004.915966386555,1105.8655462184875
23,917461,12,CBH,BATCH3,90,229,2025-06-02,19.78,5546126,140509,812006,314075,613.5764192139738,24218.890829694323,3545.877729257642,1371.5065502183406
24,918263,20,CBH,BATCH4,120,235,2025-06-03,17.6,4696603,265987,906183,172787,1131.8595744680852,19985.544680851064,3856.0978723404255,735.263829787234
25,916525,2,ME7,BATCH2,60,209,2025-06-03,17.58,6081797,188388,1138063,432133,901.377990430622,29099.507177033494,5445.277511961723,2067.622009569378
26,916507,18,ME7,BATCH2,120,235,2025-06-04,19.2,5649668,359240,1219908,249441,1528.6808510638298,24041.140425531914,5191.097872340426,1061.4510638297872
27,916439,12,CBH,BATCH1,90,252,2025-06-04,19.38,6020931,174208,1109079,358158,691.3015873015873,23892.583333333332,4401.107142857143,1421.2619047619048
28,916458,10,ME7,BATCH1,90,241,2025-06-10,18.9,3510850,213572,607854,198941,886.1908713692947,14567.842323651452,2522.2157676348547,825.4813278008298
29,918285,12,CBH,BATCH4,90,284,2025-06-10,19.63,5016801,145999,1109142,336610,514.080985915493,17664.792253521126,3905.4295774647885,1185.2464788732395
30,918287,20,CBH,BATCH4,120,251,2025-06-11,18.42,3834071,107237,992565,329658,427.2390438247012,15275.18326693227,3954.4422310756972,1313.3784860557769
31,916459,4,CBH,BATCH1,60,200,2025-06-11,18.67,4294491,125636,670990,205588,628.18,21472.455,3354.95,1027.94
32,918270,18,ME7,BATCH4,120,252,2025-06-12,17.52,6579571,300895,1413153,317167,1194.0277777777778,26109.40873015873,5607.75,1258.5992063492063
33,916534,9,RML,BATCH2,90,213,2025-06-12,17.85,4110742,256602,905025,180974,1204.7042253521126,19299.25821596244,4248.943661971831,849.6431924882629
34,918271,11,22L,BATCH4,90,232,2025-06-16,19.83,4594096,212404,856439,207345,915.5344827586207,19802.137931034482,3691.5474137931033,893.7284482758621
35,916510,3,22L,BATCH2,60,242,2025-06-16,19.95,5213337,178708,1147471,415765,738.4628099173553,21542.714876033056,4741.615702479339,1718.0371900826447
36,918269,19,22L,BATCH4,120,232,2025-06-17,17.58,5580031,168156,1306084,447223,724.8103448275862,24051.85775862069,5629.672413793103,1927.6853448275863
37,918273,1,RML,BATCH4,60,179,2025-06-17,17.57,3027589,114186,719696,247595,637.9106145251396,16913.90502793296,4020.6480446927376,1383.2122905027934
38,918284,3,22L,BATCH4,60,235,2025-06-18,18.9,6638607,202884,1214219,381006,863.336170212766,28249.391489361704,5166.889361702128,1621.3021276595746
39,917430,11,22L,BATCH3,90,207,2025-06-18,19.53,5411719,253817,811748,189516,1226.1690821256038,26143.57004830918,3921.487922705314,915.536231884058
40,917442,2,ME7,BATCH3,60,248,2025-06-19,18.67,4392368,272697,827083,222704,1099.5846774193549,17711.16129032258,3335.0120967741937,898.0
41,918267,18,ME7,BATCH4,120,234,2025-06-19,19.03,5213994,374553,1341406,199083,1600.6538461538462,22282.02564102564,5732.504273504273,850.7820512820513
42,916486,2,ME7,BATCH1,60,241,2025-06-25,18.8,3902785,190911,1028665,162677,792.161825726141,16194.128630705394,4268.319502074689,675.0082987551867
43,916445,11,22L,BATCH1,90,220,2025-06-25,19.33,5933505,318621,953757,250349,1448.2772727272727,26970.477272727272,4335.259090909091,1137.95
44,916495,20,CBH,BATCH1,120,270,2025-06-26,18.78,7663752,262389,1377331,445012,971.8111111111111,28384.266666666666,5101.225925925926,1648.1925925925925
45,918286,17,RML,BATCH4,120,197,2025-06-26,19.0,3979593,312024,811349,176568,1583.8781725888325,20200.979695431473,4118.522842639594,896.2842639593908
46,918266,20,CBH,BATCH4,120,254,2025-06-30,19.05,5318760,334757,1176308,269857,1317.9409448818897,20940.0,4631.133858267716,1062.4291338582677
47,918268,3,22L,BATCH4,60,224,2025-06-30,19.73,5847055,307741,1336045,337450,1373.84375,26102.92410714286,5964.486607142857,1506.4732142857142
48,918272,9,RML,BATCH4,90,215,2025-07-01,17.47,5241408,222295,1093843,320950,1033.9302325581396,24378.641860465115,5087.641860465116,1492.7906976744187
49,918281,11,22L,BATCH4,90,285,2025-07-01,17.77,4320476,301658,1224530,366102,1058.4491228070176,15159.564912280703,4296.596491228071,1284.5684210526315
50,916554,9,RML,BATCH2,90,262,2025-07-14,17.93,7023877,520370,1366271,326903,1986.145038167939,26808.690839694656,5214.774809160305,1247.7213740458014
